x,y,zx,zy,zxy,ncd
s123.txt,s125.txt,531,498,1013,0.9698681732580038
s123.txt,s126.txt,531,547,1062,0.9707495429616088
s123.txt,s127.txt,531,536,1054,0.9757462686567164
s123.txt,s128.txt,531,557,1074,0.9748653500897666
s123.txt,s129.txt,531,521,1040,0.9774011299435028
s123.txt,s13.txt,531,589,1117,0.9949066213921901
s123.txt,s130.txt,531,535,1054,0.9775700934579439
s123.txt,s14.txt,531,589,1111,0.9847198641765704
s123.txt,s15.txt,531,593,1110,0.9763912310286678
s123.txt,s16.txt,531,600,1121,0.9833333333333333
s123.txt,s17.txt,531,594,1119,0.98989898989899
s123.txt,s18.txt,531,598,1117,0.979933110367893
s123.txt,s19.txt,531,593,1115,0.984822934232715
s124.txt,s125.txt,583,498,1068,0.9777015437392796
s124.txt,s126.txt,583,547,1117,0.9777015437392796
s124.txt,s127.txt,583,536,1109,0.9828473413379074
s124.txt,s128.txt,583,557,1131,0.9845626072041166
s124.txt,s129.txt,583,521,1093,0.9811320754716981
s124.txt,s13.txt,583,589,1171,0.99830220713073
s124.txt,s130.txt,583,535,1104,0.9759862778730704
s124.txt,s14.txt,583,589,1166,0.9898132427843803
s124.txt,s15.txt,583,593,1168,0.9865092748735245
s124.txt,s16.txt,583,600,1176,0.9883333333333333
s124.txt,s17.txt,583,594,1168,0.9848484848484849
s124.txt,s18.txt,583,598,1170,0.9816053511705686
s124.txt,s19.txt,583,593,1166,0.9831365935919055
s125.txt,s126.txt,498,547,1031,0.9744058500914077
s125.txt,s127.txt,498,536,1020,0.9738805970149254
s125.txt,s128.txt,498,557,1045,0.9820466786355476
s125.txt,s129.txt,498,521,1007,0.9769673704414588
s125.txt,s13.txt,498,589,1083,0.9932088285229203
s125.txt,s130.txt,498,535,1016,0.9682242990654205
s125.txt,s14.txt,498,589,1084,0.9949066213921901
s125.txt,s15.txt,498,593,1080,0.9814502529510961
s125.txt,s16.txt,498,600,1083,0.975
s125.txt,s17.txt,498,594,1083,0.9848484848484849
s125.txt,s18.txt,498,598,1090,0.9899665551839465
s125.txt,s19.txt,498,593,1082,0.984822934232715
s126.txt,s127.txt,547,536,1065,0.9670932358318098
s126.txt,s128.txt,547,557,1092,0.9784560143626571
s126.txt,s129.txt,547,521,1050,0.9670932358318098
s126.txt,s13.txt,547,589,1131,0.9915110356536503
s126.txt,s130.txt,547,535,1070,0.9780621572212066
s126.txt,s14.txt,547,589,1123,0.9779286926994907
s126.txt,s15.txt,547,593,1126,0.9763912310286678
s126.txt,s16.txt,547,600,1133,0.9766666666666667
s126.txt,s17.txt,547,594,1128,0.9781144781144782
s126.txt,s18.txt,547,598,1136,0.9849498327759197
s126.txt,s19.txt,547,593,1125,0.9747048903878583
s127.txt,s128.txt,536,557,1085,0.9856373429084381
s127.txt,s129.txt,536,521,1042,0.9720149253731343
s127.txt,s13.txt,536,589,1126,1.0016977928692699
s127.txt,s130.txt,536,535,1060,0.9794776119402985
s127.txt,s14.txt,536,589,1119,0.9898132427843803
s127.txt,s15.txt,536,593,1122,0.9881956155143339
s127.txt,s16.txt,536,600,1127,0.985
s127.txt,s17.txt,536,594,1125,0.9915824915824916
s127.txt,s18.txt,536,598,1126,0.9866220735785953
s127.txt,s19.txt,536,593,1117,0.9797639123102867
s128.txt,s129.txt,557,521,1070,0.9856373429084381
s128.txt,s13.txt,557,589,1147,1.0016977928692699
s128.txt,s130.txt,557,535,1082,0.9820466786355476
s128.txt,s14.txt,557,589,1149,1.0050933786078098
s128.txt,s15.txt,557,593,1143,0.9881956155143339
s128.txt,s16.txt,557,600,1148,0.985
s128.txt,s17.txt,557,594,1145,0.98989898989899
s128.txt,s18.txt,557,598,1149,0.9899665551839465
s128.txt,s19.txt,557,593,1146,0.9932546374367622
s129.txt,s13.txt,521,589,1109,0.99830220713073
s129.txt,s130.txt,521,535,1047,0.983177570093458
s129.txt,s14.txt,521,589,1106,0.9932088285229203
s129.txt,s15.txt,521,593,1105,0.984822934232715
s129.txt,s16.txt,521,600,1108,0.9783333333333334
s129.txt,s17.txt,521,594,1105,0.9831649831649831
s129.txt,s18.txt,521,598,1112,0.9882943143812709
s129.txt,s19.txt,521,593,1108,0.9898819561551433
s13.txt,s130.txt,589,535,1119,0.9915110356536503
s13.txt,s14.txt,589,589,1164,0.9762308998302207
s13.txt,s15.txt,589,593,1158,0.9595278246205734
s13.txt,s16.txt,589,600,1016,0.7116666666666667
s13.txt,s17.txt,589,594,1164,0.968013468013468
s13.txt,s18.txt,589,598,1170,0.9715719063545151
s13.txt,s19.txt,589,593,1160,0.9629005059021922
s130.txt,s14.txt,535,589,1116,0.9864176570458404
s130.txt,s15.txt,535,593,1116,0.9797639123102867
s130.txt,s16.txt,535,600,1126,0.985
s130.txt,s17.txt,535,594,1121,0.9865319865319865
s130.txt,s18.txt,535,598,1121,0.979933110367893
s130.txt,s19.txt,535,593,1119,0.984822934232715
s14.txt,s15.txt,589,593,1162,0.9662731871838112
s14.txt,s16.txt,589,600,1172,0.9716666666666667
s14.txt,s17.txt,589,594,1165,0.9696969696969697
s14.txt,s18.txt,589,598,1166,0.9648829431438127
s14.txt,s19.txt,589,593,1161,0.9645868465430016
s15.txt,s16.txt,593,600,1172,0.965
s15.txt,s17.txt,593,594,1166,0.9646464646464646
s15.txt,s18.txt,593,598,1174,0.9715719063545151
s15.txt,s19.txt,593,593,1163,0.9612141652613828
s16.txt,s17.txt,600,594,1176,0.97
s16.txt,s18.txt,600,598,1181,0.9716666666666667
s16.txt,s19.txt,600,593,1175,0.97
s17.txt,s18.txt,594,598,1166,0.9565217391304348
s17.txt,s19.txt,594,593,1163,0.9595959595959596
s18.txt,s19.txt,598,593,1170,0.9648829431438127
